lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
kumpis,ham,H49,H,1491840940,1491841684,1491842344,1491843000,1491843637,1491843945,1492447530,83,ham,1,10064.88333
duona,bread,H49,H,1491840952,1491841664,1491842378,1491843025,1491843607,1491843943,1492447536,96,bread,1,10065.48333
vaistas,drug,H49,H,1491840967,1491841674,1491842390,1491843013,1491843669,1491843952,1492447542,79,drug,1,10064.55
pastatas,building,H5,H,1474409348,1474409991,1474410570,1474411252,1474411812,1474412612,1475016117,81,building,1,10071.75
mesa,meat,H5,H,1474409360,1474409965,1474410627,1474411222,1474411836,1474412606,1475016121,60,table,0,10071.41667
kreida,chalk,H5,H,1474409374,1474409948,1474410586,1474411272,1474411826,1474412599,1475016131,40,sword,0,10071.75
bugnas,drum,H5,H,1474409388,1474409979,1474410600,1474411262,1474411847,1474412623,1475016125,20,potato,0,10071.3
muilas,soap,H5,H,1474409400,1474410005,1474410617,1474411238,1474411857,1474412617,1475016138,19,unsure,0,10071.35
rusys,basement,H5,H,1474409417,1474410047,1474410667,1474411314,1474411885,1474412627,1475016143,10,unsure,0,10070.96667
mokykla,school,H5,H,1474409431,1474410059,1474410695,1474411339,1474411921,1474412637,1475016146,20,unsure,0,10070.41667
dirzas,belt,H5,H,1474409447,1474410069,1474410679,1474411286,1474411873,1474412643,1475016155,11,sword,0,10071.36667
pupa,bean,H5,H,1474409459,1474410019,1474410639,1474411326,1474411897,1474412634,1475016161,81,student,0,10071.06667
nafta,oil,H5,H,1474409475,1474410033,1474410653,1474411298,1474411911,1474412631,1475016152,11,unsure,0,10070.68333
sausainis,cookie,H5,H,1474409485,1474410126,1474410766,1474411391,1474411968,1474412655,1475016171,70,cookie,1,10070.05
purvas,dirt,H5,H,1474409495,1474410136,1474410734,1474411379,1474411978,1474412661,1475016176,20,unsure,0,10069.96667
traukinys,train,H5,H,1474409505,1474410082,1474410707,1474411351,1474411945,1474412652,1475016164,10,unsure,0,10070.31667
arbata,tea,H5,H,1474409515,1474410098,1474410750,1474411401,1474411931,1474412646,1475016168,10,unsure,0,10070.61667
smuikas,violin,H5,H,1474409532,1474410114,1474410723,1474411367,1474411958,1474412649,1475016179,1,unsure,0,10070.35
burna,mouth,H5,H,1474409548,1474410211,1474410808,1474411466,1474412046,1474412667,1475016184,19,book,0,10068.96667
daina,song,H5,H,1474409558,1474410195,1474410778,1474411452,1474412034,1474412677,1475016191,10,unsure,0,10069.28333
zele,jelly,H5,H,1474409574,1474410178,1474410834,1474411415,1474412020,1474412674,1475016182,20,unsure,0,10069.36667
kriaukle,sink,H5,H,1474409584,1474410162,1474410818,1474411425,1474411992,1474412670,1475016186,20,unsure,0,10069.9
kamuolys,ball,H5,H,1474409594,1474410146,1474410792,1474411437,1474412006,1474412664,1475016193,10,unsure,0,10069.78333
gelezis,iron,H5,H,1474409604,1474410283,1474410907,1474411524,1474412113,1474412681,1475016203,10,unsure,0,10068.16667
kardas,sword,H5,H,1474409620,1474410223,1474410897,1474411540,1474412103,1474412696,1475016205,50,sword,1,10068.36667
tiltas,bridge,H5,H,1474409635,1474410267,1474410867,1474411508,1474412060,1474412692,1475016211,40,bed,0,10069.18333
smegenys,brain,H5,H,1474409645,1474410251,1474410883,1474411494,1474412087,1474412688,1475016201,19,unsure,0,10068.56667
sesuo,sister,H5,H,1474409661,1474410237,1474410851,1474411478,1474412075,1474412684,1475016196,60,sister,1,10068.68333
padazas,gravy,H5,H,1474409677,1474410293,1474410943,1474411552,1474412165,1474412716,1475016229,0,unsure,0,10067.73333
plyta,brick,H5,H,1474409689,1474410322,1474410927,1474411585,1474412181,1474412700,1475016218,10,bread,0,10067.28333
